Method,Noise_pct,Outlier_pct,Q,Jaccard
RCD,1,70,6,0.9377
RCD,1,70,12,0.7746
RCD,1,70,24,0.5185
RCD,1,70,40,0.4417
RCD,2,0,0,0.9889
RCD,2,0,1,0.988
RCD,2,0,2,0.9883
RCD,2,0,3,0.9869
RCD,2,0,6,0.9606
RCD,2,0,12,0.9291
RCD,2,0,24,0.8917
RCD,2,0,40,0.7983
RCD,2,10,0,0.9873
RCD,2,10,1,0.9878
RCD,2,10,2,0.9892
RCD,2,10,3,0.9836
RCD,2,10,6,0.9547
RCD,2,10,12,0.9062
RCD,2,10,24,0.807
RCD,2,10,40,0.6389
RCD,2,20,0,0.9869
RCD,2,20,1,0.9857
RCD,2,20,2,0.9886
RCD,2,20,3,0.9845
RCD,2,20,6,0.9573
RCD,2,20,12,0.9013
RCD,2,20,24,0.7793
RCD,2,20,40,0.5861
RCD,2,30,0,0.9859
RCD,2,30,1,0.9854
RCD,2,30,2,0.9882
RCD,2,30,3,0.9826
RCD,2,30,6,0.9485
RCD,2,30,12,0.8946
RCD,2,30,24,0.7479
RCD,2,30,40,0.5325
RCD,2,40,0,0.9844
RCD,2,40,1,0.9864
RCD,2,40,2,0.9866
RCD,2,40,3,0.981
RCD,2,40,6,0.9475
RCD,2,40,12,0.8823
RCD,2,40,24,0.7339
RCD,2,40,40,0.5068
RCD,2,50,0,0.9824
RCD,2,50,1,0.9829
RCD,2,50,2,0.9854
RCD,2,50,3,0.9803
RCD,2,50,6,0.9499
RCD,2,50,12,0.8806
RCD,2,50,24,0.6788
RCD,2,50,40,0.4836
RCD,2,60,0,0.981
RCD,2,60,1,0.9811
RCD,2,60,2,0.9838
RCD,2,60,3,0.9797
RCD,2,60,6,0.9418
RCD,2,60,12,0.875
RCD,2,60,24,0.5907
RCD,2,60,40,0.4511
RCD,2,70,0,0.9795
RCD,2,70,1,0.9789
RCD,2,70,2,0.9819
RCD,2,70,3,0.9735
RCD,2,70,6,0.9353
RCD,2,70,12,0.7759
RCD,2,70,24,0.5142
RCD,2,70,40,0.4327
RCD,5,0,0,0.9597
RCD,5,0,1,0.9613
RCD,5,0,2,0.9649
RCD,5,0,3,0.9714
RCD,5,0,6,0.9731
RCD,5,0,12,0.9272
RCD,5,0,24,0.8657
RCD,5,0,40,0.7837
RCD,5,10,0,0.9597
RCD,5,10,1,0.9592
RCD,5,10,2,0.9649
RCD,5,10,3,0.9709
RCD,5,10,6,0.9699
RCD,5,10,12,0.9165
RCD,5,10,24,0.8189
RCD,5,10,40,0.6635
RCD,5,20,0,0.9572
RCD,5,20,1,0.959
RCD,5,20,2,0.9646
