case_idx,filename,config,mean_J,std_J,range_J,min_J,max_J
560,12405045_2020023_Feet_R_S_3,GL74,0.8050629766932131,0.0648153964662289,0.18476686483227467,0.6612212459157338,0.8459881107480085
561,12405045_2020023_Feet_R_S_3,GL76,0.8294033099749671,0.030567630966550248,0.17886861175115842,0.6636562246308225,0.842524836381981
562,12405045_2020023_Feet_R_S_3,GL78,0.8480758017714914,0.06286577608215127,0.24657726422457638,0.6646770382847654,0.9112543025093418
563,12405045_2020023_Feet_R_S_3,GL80,0.8569171633332127,0.06161665456688152,0.23989331210596632,0.6738684351623512,0.9137617472683175
564,12405045_2020023_Feet_R_S_3,GL82,0.8735815082238847,0.041758518863835074,0.1064723890634609,0.820937259186793,0.9274096482502538
565,12405045_2020023_Feet_R_S_3,GL84,0.8540155524518243,0.04419363711234332,0.23756143251082773,0.694636700568884,0.9321981330797118
566,12405045_2020023_Feet_R_S_3,GL86,0.9233959384943817,0.032748343690675696,0.1185813232383005,0.8265606837434226,0.9451420069817231
567,12405045_2020023_Feet_R_S_3,Med3,0.7378745477758453,0.02810426472332159,0.16159421275581698,0.6582708753287488,0.8198650880845658
568,12405045_2020023_Feet_R_S_3,Med5,0.7622759041123672,0.009649321692081086,0.06674932059041827,0.7606853844142384,0.8274347050046567
569,12405045_2020023_Feet_R_S_3,Med7,0.8602136377981889,0.00012876732000672997,0.0012941602597634771,0.8589324191410233,0.8602265794007867
570,12405045_2020023_Feet_R_S_3,Med9,0.8749899743490913,2.220446049250313e-16,0.0,0.8749899743490911,0.8749899743490911
571,12405045_2020023_Feet_R_S_3,Med11,0.8754143416151726,0.0027497394028995308,0.027635920820223148,0.8480547800031523,0.8756907008233754
572,12405045_2020023_Feet_R_S_3,Med13,0.8746613951108592,0.017489268025652642,0.044937708135439736,0.8600786908493881,0.9050163989848279
573,12405045_2020023_Feet_R_S_3,Med15,0.8123807267034185,0.001297309081066161,0.006620302681856316,0.8060252361288361,0.8126455388106925
574,12405045_2020023_Feet_R_S_3,Med17,0.7422244427916889,0.0016835855945856752,0.008953772750344147,0.7352967665265101,0.7442505392768543
575,12405045_2020023_Feet_R_S_3,Med19,0.6644142332143071,0.0005103998185812774,0.0010240819595788153,0.6638612289561346,0.6648853109157135
576,14923392_20200622_Feet_L_S_0,GL70,0.877312565822925,0.0030256980569156643,0.011858645651010913,0.876482460627354,0.8883411062783649
577,14923392_20200622_Feet_L_S_0,GL72,0.8810065320484941,0.0010563286700560957,0.010616502587488474,0.8809003670226194,0.8915168696101079
578,14923392_20200622_Feet_L_S_0,GL74,0.8882929680640153,0.003063869506644906,0.011293572836576615,0.8873894822370892,0.8986830550736659
579,14923392_20200622_Feet_L_S_0,GL76,0.8907566192374544,0.0029504261553948766,0.02167925956249972,0.8730190398319015,0.8946982993944013
580,14923392_20200622_Feet_L_S_0,GL78,0.9012379451994866,1.1102230246251565e-16,0.0,0.9012379451994867,0.9012379451994867
581,14923392_20200622_Feet_L_S_0,GL80,0.9084430166936702,2.220446049250313e-16,0.0,0.9084430166936704,0.9084430166936704
